"Additional transport insurance. If the value of the goods exceeds € 50.000, please contact our Customer Service prior to shipping.",Aanvullende transportverzekering. Neem eerst contact op met de klantenservice als de waarde van uw zending hoger is dan € 50.000
"Column ""%1"" not found, individually per order","Kolom ""%1"" niet gevonden"
"Display errors, orders stacked per error",Toon foutmeldingen per bestelling
"Display errors, missing hide shipper city","Toon foutmeldingen, voeg de bestellingen per foutmelding samen"
"Failed to create label, missing hide shipper city","Label maken mislukt, de plaats van de verberg verzender mist"
"Failed to create label, missing hide shipper company name","Label maken mislukt, de bedrijfsnaam van verberg verzender mist"
"Failed to create label, missing hide shipper street number","Label maken mislukt, het huisnummer van de verberg verzender mist"
"Failed to create label, missing hide shipper street","Label maken mislukt, de straat van de verberg verzender mist"
"Failed to create label, missing receiver street number","Label maken mislukt, het huisnummer van ontvanger mist"
"Failed to create label, missing receiver street","Label maken mislukt, de straat van de ontvanger mist"
"Failed to create label, missing shipper street number","Label maken mislukt, het huisnummer van de verzender mist"
"Failed to create label, missing shipper street","Label maken mislukt, de straat van de verzender mist"
"Following orders are not eligible to be shipped, or have been shipped already: %1",De volgende bestellingen kunnen niet verstuurd worden of zijn al verstuurd: %1
"Following orders have shipping methods that do not support tracking functionality, either change the shipping method to a DHL method or contact your developers: %1",De volgende orders hebben verzendopties die geen track en trace ondersteunen. Verander de verzendmethode naar een DHL methode of neem contact op met uw websitebeheerder: %1
"Hide all errors, but list order numbers","Verberg alle foutmeldingen, toon alleen de bestelnummers"
"Hide original shipper and use configuration ""Alternative Shipping Address for Hide Shipper Service""","Verberg de verzender en gebruik de gegevens van ""Alternatief verzendadres voor Verberg Verzender"""
"Invalid condition code: ""%1""","Ongeldige conditie code: ""%1"""
"Invalid system.xml configuration used, field required name is import","Onjuiste system.xml configuratie gebruikt, benodigde veldnaam is import"
"No labels found for shipment %1, order number #%2","Geen labels gevonden voor zending %1, bestelnummer #%2"
"No shipments and labels where created, %1 orders failed due to errors","Geen zendingen en labels aangemaakt, %1 bestellingen mislukt door fouten"
"Please correct %1 ""%2"" in the Row #%3.","Corrigeer %1 ""%2"" in rij #%3"
"Please correct Country ""%1"" in the Row #%2.","Corrigeer Land ""%1"" in rij #%2"
"Please correct Region/State ""%1"" in the Row #%2.","Corrigeer Regio/Staat ""%1"" in rij #%2"
"Please correct Shipping Price ""%1"" in the Row #%2.","Corrigeer Verzendkosten ""%1"" in rij #%2"
"Something unexpected happened, please contact your administrator","Er is een onverwachte fout opgetreden, neem contact op met uw websitebeheerder"
%1 / %2 rate:,%1 / %2 rate:
%1 label(s) were not printed due to errors,%1 label(s) konden niet worden geprint door fouten
%s day(s),%s dag(en)
%s hour(s),%s uur of uren
%s min(s),%s minuut of minuten
%s month(s),%s maand(en)
%s week(s),%s week of weken
%s year(s),%s jaar of jaren
. ' ' .,. ' ' .
A shipment cannot be created for the order,Er kon geen zending worden aangemaakt voor de bestelling
API Key,API-sleutel
API UserId,API gebruiker ID
API request data responses,API request data responses
Account Information,Accountinformatie
Account Settings,Accountinstellingen
Add a reference for your own administration (max 70 characters).,Voeg een notitie toe voor uw eigen administratie (max. 70 karakters)
Add a short reference for your own administration (max 15 characters).,Voeg een korte notitie toe voor uw eigen administratie (max. 15 karakters)
Add more packages,Meer pakjes toevoegen
Address Information,Adresgegevens
Age check (18+),Leeftijdscheck (18+)
Alternative API URL,Alternatieven API URL
Alternative Return Address,Alternatief retouradres
Alternative Shipping Address for Hide Shipper Service,Alternatief retouradres voor Verberg Verzender optie
Alternative tracking URL,Alternatieve track en trace URL
Are you sure you want these actions to be taken?,Weet u zeker dat u deze acties wilt uitvoeren?
Are you sure?,Weet u het zeker?
At the door,Aan de deur
At the door,Thuisbezorging
Authentication failed. Please try again or contact customer service for help,Authenticatie mislukt. Probeer het opnieuw of neem contact op met support
Authentication successful,Authenticatie succesvol
Auto-enable: Age check 18+,Standaard ingeschakeld: leeftijdscheck (18+)
Auto-enable: Extra assured,Standaard ingeschakeld: Extra Zeker
Auto-enable: Hide shipper,Standaard ingeschakeld: Verberg Verzender
Auto-enable: Reference 2,Standaard ingeschakeld: Referentie 2
Auto-enable: Reference,Standaard ingeschakeld: Referentie
Auto-enable: Return label,Standaard ingeschakeld: Retourlabel
Billing Address,Factuuradres
Bulk Operations,Bulk acties
Bulk Reports,Bulk rapporten
Bulk error notification method,Bulk foutmelding methode
Bulk status notification,Bulk status notificaties
Bulk success notification,Bulk succes notificaties
Cash on delivery,Rembours
Choose a different DHL ServicePoint,Kies een ander DHL punt
City,Stad
Company name,Bedrijfsnaam
Condition,Conditie
Country Code,Landcode
Country,Land
Create DHL shipping label,Maak DHL verzendlabels
Create labels,Maak labels
Create mailbox labels,Maak brievenbuspakket labels
Custom text,Aangepaste tekst
Customer Group,Klantgroep
Customer Name,Naam klant
DHL Delivery Options,DHL Bezorgopties
DHL Labels,DHL labels
DHL Parcel Shipping,DHL Parcel verzending
DHL Parcel bulk action called from an invalid page,DHL Parcel bulk actie aangeroepen vanaf een ongeldige pagina
DHL Parcel extension has been turned on but user ID and API key combination is invalid,DHL Parcel plugin staat aan maar gebruiker ID en API-sleutel combinatie is ongeldig
DHL Parcel,DHL Parcel
DHL Same-day delivery (6 p.m. to 9.30 p.m.),DHL Vandaag (tussen 18u en 21.30u)
DHL ServicePoint Options,DHL ServicePoint opties
DHL ServicePoint delivery,Bezorging op een DHL ServicePoint
DHL ServicePoint,DHL ServicePoint
DHL Servicepoint,DHL ServicePoint
Debug log,Debug log
Debug mode,Debug modus
Default (1 label per page),Standaard (1 label per pagina)
Default text for reference 2,Standaardtekst voor referentie 2
Default text for reference,Standaardtekst voor referentie
Default text source for reference 2,Standaard tekstbron voor referentie 2
Default text source for reference,Standaard tekstbron voor referentie
Delivered in %s days,Bezorgd in %s dagen
Delivered the next day,Volgende dag bezorgd
Delivery Times,Bezorgtijden
Delivery date,Bezorgdatum
Delivery in the mailbox of the recipient,Bezorging door de brievenbus van de ontvanger
Delivery on construction site,Bouwplaatslevering
Developer Settings,Instellingen voor ontwikkelaars
Download DHL Labels,Download DHL labels
Download labels,Download labels
Duplicate Row #%1 (duplicates row #%2),Dupliceer rij #%1 (dupliceert rij #%2)
E-mailadress,E-mailadres
Edit Customer,Klant aanpassen
Email,E-mail
Enable alternative API,Alternatieve API inschakelen
Enable print service usage,Printservice inschakelen
Enabled,Ingeschakeld
Evening delivery (6 AM to 9.30 PM),Avondlevering (tussen 18u en 21.30u)
Evening delivery,Avondbezorging
Evening,Avondbezorging
Ex Works,Af Fabriek
Ex factory,Af Fabriek
Expected in %s,Wordt verwacht in %s
Export CSV,Exporteer CSV
Export,Exporteer
Expresser,Expresser
Extension version,Plug-in versie
Extra Assured,Extra Zeker
Failed to create label,Label maken mislukt
Failed to create return label,Retourlabel maken mislukt
Field,Veld
First name,Voornaam
Flat price,Vaste prijs
Flat pricing,Vast tarief
Following orders could not be printed because no valid printer has been chosen: %1,De volgende bestelling(en) konden niet worden geprint omdat er geen geldige printer is gekozen: %1
Following orders do not have a valid combination of service options and require manual creation: %1,De volgende bestelling(en) hebben geen geldige combinatie van bezorgopties en moeten handmatig worden aagemaakt: %1
Following orders don't have any labels: %1,Voor de volgende bestelling(en) zijn er geen labels: %1
Following orders failed to create a shipment and label: %1,Voor de volgende bestelling(en) kon geen zending en label worden aangemaakt: %1
